iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0744052563873,0.0734291985734,0.0719447727919,0.923480083857,0.933054393305,0.943143812709,0,0,0,0.063050397
10,0.0299553841295,0.0308895513375,0.0300308403208,0.95178197065,0.949790794979,0.953177257525,0,0,0,0.617029185
20,0.0286389442561,0.0309255289137,0.0263512252793,0.95178197065,0.949790794979,0.953177257525,0,0,0,1.133471097
30,0.0255715454759,0.0269765719509,0.02491010633,0.95178197065,0.949790794979,0.953177257525,0,0,0,1.680459432
40,0.0292080090784,0.0292604064511,0.0270409966617,0.95178197065,0.949790794979,0.953177257525,0,0,0,2.231704418
50,0.0268201085868,0.0265368460675,0.0244083564552,0.95178197065,0.949790794979,0.953177257525,0,0,0,2.823013568
60,0.0246995410395,0.0259935077231,0.0234575944628,0.95178197065,0.949790794979,0.953177257525,0,0,0,3.380444676
70,0.025663368223,0.0263989010178,0.024706231857,0.95178197065,0.949790794979,0.953177257525,0,0,0,3.917360142
80,0.0259717969544,0.027011468024,0.025205140147,0.95178197065,0.949790794979,0.953177257525,0,0,0,4.455725389
90,0.0256272215569,0.026898971012,0.0248012969915,0.95178197065,0.949790794979,0.953177257525,0,0,0,4.991340267
100,0.025939424465,0.0267081314406,0.0245795092964,0.95178197065,0.949790794979,0.953177257525,0,0,0,5.524853857
110,0.0252095627643,0.0263508235297,0.0245478755472,0.95178197065,0.949790794979,0.953177257525,0,0,0,6.079726946
120,0.0253459915806,0.0264960824909,0.0244650486059,0.95178197065,0.949790794979,0.953177257525,0,0,0,6.623655986
130,0.0256694367615,0.0267549739307,0.0249068567382,0.95178197065,0.949790794979,0.953177257525,0,0,0,7.14764563
140,0.0254645419644,0.0265203815267,0.0246383312746,0.95178197065,0.949790794979,0.953177257525,0,0,0,7.722809023
150,0.0255834283544,0.0268288361652,0.02462954248,0.95178197065,0.949790794979,0.953177257525,0,0,0,8.27533604
160,0.0250062131626,0.0262472392517,0.0243792121126,0.95178197065,0.949790794979,0.953177257525,0,0,0,8.80935951
170,0.0254038189179,0.0265396907081,0.0247066187168,0.95178197065,0.949790794979,0.953177257525,0,0,0,9.346768882
180,0.0248918422628,0.026143511371,0.0242615594339,0.95178197065,0.949790794979,0.953177257525,0,0,0,9.891101498
190,0.0260463155738,0.027351877301,0.0252383182641,0.95178197065,0.949790794979,0.953177257525,0,0,0,10.434681076
200,0.0250106448574,0.0262870560679,0.0244385439818,0.95178197065,0.949790794979,0.953177257525,0,0,0,10.953553448
210,0.0248355416607,0.0261862415299,0.0244517289211,0.95178197065,0.949790794979,0.953177257525,0,0,0,11.49832567
220,0.0249657922659,0.0262929232034,0.0244129549021,0.95178197065,0.949790794979,0.953177257525,0,0,0,12.016022166
230,0.0248075052492,0.0261751420159,0.0241664938221,0.95178197065,0.949790794979,0.953177257525,0,0,0,12.558753154
240,0.0249907407711,0.0263431989938,0.0243599653917,0.95178197065,0.949790794979,0.953177257525,0,0,0,13.117037162
250,0.0258957536966,0.0271668819461,0.0250725193432,0.95178197065,0.949790794979,0.953177257525,0,0,0,13.681993352
260,0.0248506819308,0.0260738999068,0.0243153909676,0.95178197065,0.949790794979,0.953177257525,0,0,0,14.237057351
270,0.0249865100108,0.0264189844723,0.0242692120793,0.95178197065,0.949790794979,0.953177257525,0,0,0,14.784634677
280,0.0254747687318,0.0269605221757,0.0248076579186,0.95178197065,0.949790794979,0.953177257525,0,0,0,15.329602145
290,0.0255631525573,0.0269405331328,0.0247674473944,0.95178197065,0.949790794979,0.953177257525,0,0,0,15.898669482
300,0.0253224148825,0.0266839649781,0.024761953569,0.95178197065,0.949790794979,0.953177257525,0,0,0,16.473941637
310,0.0252943125088,0.026778071444,0.0247302201326,0.95178197065,0.949790794979,0.953177257525,0,0,0,17.062279604
320,0.025669330792,0.0271152820871,0.025270741881,0.95178197065,0.949790794979,0.953177257525,0,0,0,17.660786147
330,0.0256042907819,0.0269231557804,0.0250329128999,0.95178197065,0.949790794979,0.953177257525,0,0,0,18.294239756
340,0.0253410618089,0.0268895587222,0.0248447129054,0.95178197065,0.949790794979,0.953177257525,0,0,0,18.95196988
350,0.0253092566458,0.0268023974018,0.0250601501141,0.95178197065,0.949790794979,0.953177257525,0,0,0,19.632839806
360,0.0254714984359,0.026937278861,0.0250619903583,0.95178197065,0.949790794979,0.953177257525,0,0,0,20.244314974
370,0.0253627765165,0.0267102078915,0.0246272191357,0.95178197065,0.949790794979,0.953177257525,0,0,0,20.912090917
380,0.0258773578488,0.0274908679837,0.0255424849152,0.95178197065,0.949790794979,0.953177257525,0,0,0,21.5599042
390,0.0253780148684,0.0267387874253,0.0250158706778,0.95178197065,0.949790794979,0.953177257525,0,0,0,22.188833704
400,0.0250235945951,0.0264134443257,0.0246987122948,0.95178197065,0.949790794979,0.953177257525,0,0,0,22.887166273
410,0.0251311582089,0.0264876454466,0.0247672568014,0.95178197065,0.949790794979,0.953177257525,0,0,0,23.496941011
420,0.02561251754,0.0269665564805,0.0251599945002,0.95178197065,0.949790794979,0.953177257525,0,0,0,24.116086729
430,0.0256263315638,0.0270738233818,0.0251887755361,0.95178197065,0.949790794979,0.953177257525,0,0,0,24.722367961
440,0.0250376729308,0.0263409262812,0.0246885988892,0.95178197065,0.949790794979,0.953177257525,0,0,0,25.359160948
