iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.193678266081,0.199285328167,0.194748637294,0.106918238994,0.0794979079498,0.0936454849498,0.027397260274,0.0178571428571,0.0216606498195,0.002723721
10,0.197791543985,0.203250797609,0.199027032345,0.0995807127883,0.0753138075314,0.0836120401338,0.0271800679502,0.0177777777778,0.0143884892086,0.03163613
20,0.19656384254,0.2022976817,0.198328288208,0.101677148847,0.071129707113,0.0903010033445,0.0272417707151,0.0176991150442,0.0215827338129,0.059572756
30,0.192616770597,0.198601642464,0.194542522858,0.109014675052,0.0794979079498,0.110367892977,0.0252293577982,0.00900900900901,0.0220588235294,0.080284532
40,0.191271607056,0.199089441342,0.195042933554,0.127882599581,0.0794979079498,0.103678929766,0.0280373831776,0.00900900900901,0.0147058823529,0.099248048
50,0.181751392978,0.190655570746,0.186884606192,0.171907756813,0.112970711297,0.153846153846,0.029484029484,0.0185185185185,0.0155642023346,0.117464993
60,0.179814375716,0.189218691471,0.185372485107,0.188679245283,0.133891213389,0.170568561873,0.0300751879699,0.0189573459716,0.015873015873,0.136580574
70,0.170836740954,0.177743962035,0.176734237627,0.245283018868,0.200836820084,0.230769230769,0.0322580645161,0.0205128205128,0.00862068965517,0.157698053
80,0.167365719383,0.174209979568,0.175736156279,0.254716981132,0.200836820084,0.217391304348,0.0507343124166,0.0402010050251,0.0330578512397,0.178192082
90,0.167217553184,0.173262441545,0.17400810291,0.252620545073,0.213389121339,0.224080267559,0.0480640854473,0.0408163265306,0.0252100840336,0.198370336
100,0.15982134128,0.164226398698,0.16826087371,0.305031446541,0.292887029289,0.264214046823,0.0568990042674,0.0558659217877,0.0350877192982,0.215811799
110,0.1557486745,0.161650145499,0.16513125555,0.325995807128,0.309623430962,0.274247491639,0.0330827067669,0.0462427745665,0.00913242009132,0.232693714
120,0.152866778654,0.158639838957,0.162408262614,0.348008385744,0.322175732218,0.290969899666,0.0341614906832,0.0470588235294,0.00934579439252,0.254643306
130,0.149845362448,0.155548815429,0.159695377408,0.357442348008,0.326359832636,0.301003344482,0.0346456692913,0.0473372781065,0.018779342723,0.27614615
