iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0817286609203,0.0721154742594,0.0766782331467,0.8071278826,0.820083682008,0.829431438127,0.010752688172,0.0444444444444,0.105263157895,0.0599869389999
10,0.0385228282782,0.0396162987468,0.0357349671647,0.95178197065,0.949790794979,0.953177257525,0,0,0,0.681307335
20,0.0322366670212,0.0324890155677,0.0297204242238,0.95178197065,0.949790794979,0.953177257525,0,0,0,1.294422665
30,0.0259480813433,0.0263239667182,0.0255990877981,0.95178197065,0.949790794979,0.953177257525,0,0,0,1.941530395
40,0.0256965574397,0.0270416416977,0.0252505747984,0.95178197065,0.949790794979,0.953177257525,0,0,0,2.57659484
50,0.026395016383,0.0274333513301,0.0249092531704,0.95178197065,0.949790794979,0.953177257525,0,0,0,3.250360975
60,0.0259213315115,0.0267522982714,0.0252242084188,0.95178197065,0.949790794979,0.953177257525,0,0,0,3.885655605
70,0.0248382149361,0.0259322576257,0.024264081972,0.95178197065,0.949790794979,0.953177257525,0,0,0,4.521797125
80,0.0246763075438,0.026094176743,0.0235675649449,0.95178197065,0.949790794979,0.953177257525,0,0,0,5.147253763
90,0.0243760436855,0.0255808794142,0.0235944516555,0.95178197065,0.949790794979,0.953177257525,0,0,0,5.770020798
100,0.0239883047445,0.025163938686,0.0232899530133,0.95178197065,0.949790794979,0.953177257525,0,0,0,6.375238321
110,0.023790850259,0.0252792485361,0.0231069658779,0.95178197065,0.949790794979,0.953177257525,0,0,0,6.979781714
120,0.0233712128226,0.0253992446339,0.0234303174647,0.95178197065,0.949790794979,0.953177257525,0,0,0,7.595101968
130,0.0233889559247,0.0253258263059,0.0232922602112,0.95178197065,0.949790794979,0.953177257525,0,0,0,8.23240948
140,0.0237859825413,0.0252297151061,0.0231537595749,0.95178197065,0.949790794979,0.953177257525,0,0,0,8.854777241
150,0.0223505202056,0.0250538238431,0.022647953814,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,9.458719182
160,0.0230418979257,0.025333993911,0.0234084554757,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,10.066335301
170,0.0226034559134,0.0253123886564,0.0228063452286,0.95178197065,0.949790794979,0.953177257525,0,0,0,10.663291251
180,0.022086677412,0.0253159509001,0.0230513123511,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,11.271206678
190,0.0225828053645,0.0253082874071,0.0231361577716,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,11.888475656
200,0.0226247150038,0.0252843325966,0.0230729940308,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,12.499581662
210,0.0229166804695,0.0258482747481,0.0237051926926,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,13.120159025
220,0.0233876346643,0.0255350983099,0.0235200424865,0.95178197065,0.949790794979,0.953177257525,0,0,0,13.732750944
230,0.0220780606254,0.0254810681999,0.0234480353563,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,14.317292451
240,0.0226782530515,0.0253117769335,0.0232892575894,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,14.884765734
250,0.0224193123873,0.025366184377,0.0232546813416,0.95178197065,0.949790794979,0.953177257525,0,0,0,15.439967661
260,0.022599189473,0.0255213370819,0.0233642368556,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,16.010723269
270,0.0222047382568,0.0251980495956,0.0231599224679,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,16.579305391
280,0.0211540435305,0.025570362038,0.0234807850577,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,17.164804727
290,0.0223307621512,0.0253918702914,0.0234021471953,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,17.748606069
300,0.0227824457211,0.0253237270096,0.0234152716761,0.95178197065,0.949790794979,0.953177257525,0,0,0,18.299295066
310,0.0220301434015,0.0254337064062,0.0235964808073,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,18.855725751
320,0.0213808500985,0.0253462306726,0.0231042628824,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,19.41884063
330,0.0217141656796,0.0251101668945,0.0230829455696,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,19.978855356
340,0.0215963296693,0.0253936895413,0.0232954069479,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,20.53506575
350,0.0224004797097,0.0252950935383,0.0230532898558,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,21.076800637
360,0.0220515763339,0.0252184535521,0.0232986513196,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,21.607431072
370,0.0222936623558,0.0251547047677,0.0231887509204,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,22.152278735
380,0.0221065758674,0.0252494360565,0.0233089859524,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,22.719193921
390,0.0217374005646,0.0253966846947,0.0233928102946,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,23.249237862
400,0.0211497228277,0.0252509508002,0.0232736894085,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,23.797487112
410,0.0212158550797,0.0251468668329,0.0231980502766,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,24.337411382
420,0.0206163010617,0.0251163209025,0.0231684004906,0.958071278826,0.949790794979,0.953177257525,0.230769230769,0,0,24.887200382
430,0.0210541815377,0.0253441675356,0.0233728181161,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,25.438990572
440,0.0211064059928,0.0251649463389,0.0231899493903,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,25.984217502
450,0.0212324315688,0.0251312485563,0.0232324259644,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,26.536863844
460,0.0216180342181,0.0252281700507,0.0231917417066,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,27.092050941
470,0.0214732325962,0.0253092710808,0.0233113913744,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,27.629029004
480,0.0214927230038,0.0253470078077,0.0232719802361,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,28.182658712
490,0.0212441228754,0.0252657835262,0.0232080534006,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,28.714408232
500,0.0213572742709,0.0252911134342,0.0231318006519,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,29.273987174
510,0.0211660917107,0.0252835915402,0.0232968581104,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,29.838434941
520,0.0212305739227,0.0252609731781,0.02325901261,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,30.402036577
530,0.0218420827284,0.0252091842027,0.0230910435479,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,30.975514092
540,0.0213069443465,0.0252591811975,0.0231309280352,0.955974842767,0.949790794979,0.953177257525,0.16,0,0,31.564698365
550,0.0212207726426,0.0253071840504,0.0233117994774,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,32.186806834
560,0.0206753356826,0.0253066158203,0.0231451872862,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,32.762630722
570,0.021035591751,0.02521856588,0.0231221529027,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,33.34240821
580,0.0209656469891,0.025222191255,0.0231899645611,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,33.925571633
590,0.0212396478845,0.0254324393988,0.0233342774809,0.957023060797,0.949790794979,0.953177257525,0.196078431373,0,0,34.504597367
600,0.0197147196462,0.0245190775059,0.0229815164369,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,35.091962686
610,0.0194290540481,0.0240006784918,0.0227911942332,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,35.679023052
620,0.0191484038575,0.0234922455386,0.0228635125902,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,36.264108965
630,0.0198967497103,0.0246764421359,0.0230007988554,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,36.866064428
640,0.0196899966471,0.0242215323658,0.0229441306084,0.959119496855,0.949790794979,0.953177257525,0.264150943396,0,0,37.447256859
650,0.0179334913467,0.0220204448803,0.0226232670686,0.961215932914,0.953974895397,0.953177257525,0.327272727273,0.153846153846,0,38.035701039
660,0.0177375387788,0.0220379693911,0.022710359582,0.961215932914,0.953974895397,0.953177257525,0.327272727273,0.153846153846,0,38.605857331
670,0.0163554905933,0.020741681684,0.02219537876,0.964360587002,0.953974895397,0.953177257525,0.413793103448,0.153846153846,0,39.183791645
680,0.015953236738,0.0205932974835,0.0221166455625,0.965408805031,0.953974895397,0.953177257525,0.440677966102,0.153846153846,0,39.753883933
690,0.0181096704656,0.0219518137529,0.0227444323213,0.959119496855,0.953974895397,0.953177257525,0.264150943396,0.153846153846,0,40.331416455
700,0.0138649531028,0.0168770189753,0.0198086995152,0.970649895178,0.966527196653,0.953177257525,0.5625,0.5,0,40.917636678
710,0.0144361920037,0.0176355608829,0.0205060783359,0.970649895178,0.962343096234,0.953177257525,0.5625,0.4,0,41.517719434
720,0.0138393294253,0.0178982813441,0.0201226288709,0.971698113208,0.962343096234,0.953177257525,0.584615384615,0.4,0,42.106304844
730,0.0139642214278,0.0169091883993,0.0202305829581,0.970649895178,0.958158995816,0.953177257525,0.5625,0.285714285714,0,42.670562209
740,0.0140125608051,0.0168399260185,0.020133148539,0.969601677149,0.966527196653,0.953177257525,0.539682539683,0.5,0,43.2582325
