iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.10855025101,0.112412860032,0.110320836928,0.716981132075,0.677824267782,0.698996655518,0.0625,0,0.0217391304348,0.00198419199999
10,0.111058754223,0.114861588255,0.112561872096,0.689727463312,0.652719665272,0.695652173913,0.0512820512821,0,0.0215053763441,0.021226509
20,0.108684695572,0.11299860178,0.110662680416,0.69392033543,0.661087866109,0.688963210702,0.0457516339869,0,0.0210526315789,0.04388484
30,0.108646989016,0.113301902592,0.110891040242,0.707547169811,0.698744769874,0.698996655518,0.066889632107,0,0.0217391304348,0.072432751
40,0.109244588245,0.113998022127,0.112151529305,0.701257861635,0.690376569038,0.709030100334,0.0594059405941,0,0.0224719101124,0.092990151
50,0.10918417884,0.113802258583,0.112298592429,0.688679245283,0.673640167364,0.678929765886,0.0689655172414,0.025,0.04,0.114592312
60,0.109482983172,0.114310585764,0.112290758402,0.6928721174,0.669456066946,0.685618729097,0.0578778135048,0.0246913580247,0.0408163265306,0.140356551
70,0.102872157147,0.107529684535,0.104953285035,0.731656184486,0.707112970711,0.715719063545,0.0857142857143,0.0277777777778,0.0449438202247,0.16101679
80,0.0771296424483,0.0830038336698,0.0801247338762,0.864779874214,0.820083682008,0.852842809365,0.110344827586,0,0,0.182382319
90,0.0673262633195,0.0729058171177,0.0700730009581,0.883647798742,0.857740585774,0.876254180602,0.125984251969,0,0,0.202716567
100,0.0650616356272,0.0708335028668,0.0684972574828,0.88784067086,0.857740585774,0.879598662207,0.157480314961,0,0,0.222301795
110,0.064717409305,0.0697313334748,0.0673217939632,0.882599580713,0.857740585774,0.882943143813,0.0819672131148,0,0,0.242716826
120,0.0631388582166,0.0694578331478,0.0668224206884,0.889937106918,0.853556485356,0.886287625418,0.146341463415,0,0,0.262481427
130,0.0610275355762,0.0669437959294,0.063938074389,0.893081761006,0.853556485356,0.889632107023,0.16393442623,0,0,0.281994667
140,0.0604563947303,0.0666548361158,0.063768913749,0.896226415094,0.857740585774,0.889632107023,0.168067226891,0.0555555555556,0,0.302445861
150,0.0625881700447,0.069511207448,0.0669760547192,0.888888888889,0.836820083682,0.876254180602,0.15873015873,0.0487804878049,0.0512820512821,0.322096498
160,0.0590860005349,0.065644282469,0.0636525361843,0.895178197065,0.866108786611,0.886287625418,0.193548387097,0.111111111111,0,0.341835685
170,0.0574072475998,0.0640432655857,0.0619321084222,0.895178197065,0.874476987448,0.889632107023,0.193548387097,0.117647058824,0,0.361710695
180,0.0524941355141,0.0575385780672,0.0559022420711,0.90251572327,0.89539748954,0.899665551839,0.205128205128,0.0740740740741,0,0.383089152
190,0.0504929514467,0.0551452292096,0.0538608047123,0.904612159329,0.899581589958,0.899665551839,0.222222222222,0.142857142857,0,0.402685831
200,0.0487940223158,0.0533167807859,0.0521648469486,0.911949685535,0.903765690377,0.90635451505,0.263157894737,0.148148148148,0,0.423808445
210,0.0471671051975,0.0508544513723,0.0500335371872,0.916142557652,0.903765690377,0.90635451505,0.322033898305,0.148148148148,0,0.443296878
220,0.0471496511791,0.0508308065286,0.0499482633133,0.915094339623,0.903765690377,0.909698996656,0.295652173913,0.148148148148,0,0.462833436
230,0.0455192884518,0.0491742781655,0.0480616427405,0.917190775681,0.907949790795,0.909698996656,0.300884955752,0.153846153846,0,0.482262337
240,0.044795432284,0.0486031663624,0.0477475312272,0.91928721174,0.912133891213,0.916387959866,0.318584070796,0.16,0,0.501868496
250,0.0432300496708,0.0467240406086,0.0458126733185,0.922431865828,0.916317991632,0.916387959866,0.327272727273,0.166666666667,0,0.521441418
260,0.0424616075023,0.0456219193374,0.0448698586934,0.926624737945,0.92050209205,0.916387959866,0.396551724138,0.173913043478,0,0.541438393
270,0.0406665882171,0.0435690298887,0.0422808452854,0.928721174004,0.92050209205,0.919732441472,0.423728813559,0.296296296296,0.142857142857,0.561478699
280,0.0334437176273,0.0368206051368,0.0347548101186,0.937106918239,0.937238493724,0.926421404682,0.5,0.48275862069,0.214285714286,0.581443161
